"Message",Low,"Построение начато."
"Message",Low,"Проект ""Unnamed_1"" (целевые объекты по умолчанию):"
"Message",Low,"Построение с инструментами версии ""4.0""."
"Message",Low,"Целевой объект ""PrintILCStartMessage"" в файле ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" из проекта ""E:\M.I.D.I\M.I.D.I\M.I.D.I\Unnamed_1"" (целевой объект ""Build"" зависит от него):"
"Message",Low,"Используется задача ""IlcMessageTask"" из сборки ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\ilc.exe""."
"Message",Low,"Задача ""IlcMessageTask"""
"Message",High,"Starting .NET Native compilation"
"Message",Low,"Выполнение задачи ""IlcMessageTask"" завершено."
"Message",Low,"Построение целевого объекта ""PrintILCStartMessage"" в проекте ""Unnamed_1"" завершено."
"Message",Low,"Целевой объект ""RunGatekeeper"" в файле ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" из проекта ""E:\M.I.D.I\M.I.D.I\M.I.D.I\Unnamed_1"" (целевой объект ""Build"" зависит от него):"
"Message",Low,"Используется задача ""WriteLinesToFile"" из сборки ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Задача ""WriteLinesToFile"""
"Message",Low,"Выполнение задачи ""WriteLinesToFile"" завершено."
"Message",Low,"Используется задача ""StartProcessTask"" из сборки ""Microsoft.Build.ILTasks""."
"Message",Low,"Задача ""StartProcessTask"""
"Message",Normal,"Launching 'C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\tools\Gatekeeper.exe @""E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.0.24208.01 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\in\M.I.D.I.exe'. "
"Message",Normal,"'C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\tools\Gatekeeper.exe @""E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\intermediate\gkargs.rsp""' completed."
"Message",Normal,"Process execution statistics (all times in milliseconds)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"launch  |  start   |   stop   |   end    | duration | lifetime | [slot] name"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"      15 |       15 |      984 |      984 |      969 |      969 | [0] Gatekeeper"
"Message",Normal,"Number of commands:      1"
"Message",Normal,"Total system time:       984 ms"
"Message",Normal,"System time per command: 984 ms"
"Message",Normal,"Total duration:          969 ms"
"Message",Normal,"Total lifetime:          969 ms"
"Message",Normal,"Requested DOP:           4"
"Message",Normal,"Duration DOP:            1,0"
"Message",Normal,"Lifetime DOP:            1,0"
"Message",Low,"Выполнение задачи ""StartProcessTask"" завершено."
"Message",Low,"Построение целевого объекта ""RunGatekeeper"" в проекте ""Unnamed_1"" завершено."
"Message",Low,"Целевой объект ""LogAppContextSwitches"" в файле ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" из проекта ""E:\M.I.D.I\M.I.D.I\M.I.D.I\Unnamed_1"" (целевой объект ""SetMainTargetPaths"" зависит от него):"
"Message",Low,"Используется задача ""Message"" из сборки ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Задача ""Message"""
"Message",Normal,"AppContextSwitch: ''"
"Message",Low,"Выполнение задачи ""Message"" завершено."
"Message",Low,"Построение целевого объекта ""LogAppContextSwitches"" в проекте ""Unnamed_1"" завершено."
"Message",Low,"Целевой объект ""SetMainTargetPaths"" в файле ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" из проекта ""E:\M.I.D.I\M.I.D.I\M.I.D.I\Unnamed_1"" (целевой объект ""CopyNativeExecutablesToOutput"" зависит от него):"
"Message",Low,"Построение целевого объекта ""SetMainTargetPaths"" в проекте ""Unnamed_1"" завершено."
"Message",Low,"Целевой объект ""GenerateFakeExe"" пропущен из-за невыполненного условия; выражение (!Exists('@(InputILTarget)')) равно (!Exists('E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\in\M.I.D.I.exe'))."
"Message",Low,"Целевой объект ""InjectCoreLibTypeForwards"" пропущен из-за невыполненного условия; выражение ('$(UseSharedAssemblies)' != 'true') равно ('true' != 'true')."
"Message",Low,"Целевой объект ""InjectWindowsRuntimeTypeForwards"" в файле ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" из проекта ""E:\M.I.D.I\M.I.D.I\M.I.D.I\Unnamed_1"" (целевой объект ""RunILTransforms"" зависит от него):"
"Message",Low,"Используется задача ""MakeDir"" из сборки ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Задача ""MakeDir"""
"Message",Normal,"Создание каталога ""E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\intermediate\TransformedSRWR\""."
"Message",Low,"Выполнение задачи ""MakeDir"" завершено."
"Message",Low,"Используется задача ""ILTransformTask"" из сборки ""Microsoft.Build.ILTasks""."
"Message",Low,"Задача ""ILTransformTask"""
"Message",Normal,"Running 'InjectWindowsRuntimeTypeForwards' transform, heap at 7 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 14 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"   437 |          7 | InjectWindowsRuntimeTypeForwards"
"Message",Normal,"   279 |          1 | WriteAssemblies"
"Message",Low,"Выполнение задачи ""ILTransformTask"" завершено."
"Message",Low,"Построение целевого объекта ""InjectWindowsRuntimeTypeForwards"" в проекте ""Unnamed_1"" завершено."
"Message",Low,"Целевой объект ""InjectCoreLibTypeForwards"" пропущен из-за невыполненного условия; выражение ('$(UseSharedAssemblies)' != 'true') равно ('true' != 'true')."
"Message",Low,"Целевой объект ""PreResolveTransforms"" в файле ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" из проекта ""E:\M.I.D.I\M.I.D.I\M.I.D.I\Unnamed_1"" (целевой объект ""RunILTransforms"" зависит от него):"
"Message",Low,"Полное построение целевого объекта ""PreResolveTransforms""."
"Message",Low,"Выходной файл ""E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\intermediate\PreMergeILTransformed\M.I.D.I.exe"" не существует."
"Message",Low,"Задача ""MakeDir"""
"Message",Normal,"Создание каталога ""E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\intermediate\PreMergeILTransformed\""."
"Message",Low,"Выполнение задачи ""MakeDir"" завершено."
"Message",Low,"Задача ""Message"""
"Message",Normal,"Running AssemblyClosureTask in PreResolveTransforms"
"Message",Low,"Выполнение задачи ""Message"" завершено."
"Message",Low,"Используется задача ""AssemblyClosureTask"" из сборки ""Microsoft.Build.ILTasks""."
"Message",Low,"Задача ""AssemblyClosureTask"""
"Message",Low,"Выполнение задачи ""AssemblyClosureTask"" завершено."
"Message",Low,"Задача ""ILTransformTask"" пропущена из-за невыполненного условия; выражение ('@(PreResolveTransforms)' != '') равно ('' != '')."
"Message",Low,"Используется задача ""Copy"" из сборки ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Задача ""Copy"""
"Message",Normal,"Копирование файла из ""E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\in\M.I.D.I.pdb"" в ""E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\intermediate\PreMergeILTransformed\M.I.D.I.pdb""."
"Message",Low,"Выполнение задачи ""Copy"" завершено."
"Message",Low,"Задача ""Copy"""
"Message",Normal,"Копирование файла из ""E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\in\M.I.D.I.exe"" в ""E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\intermediate\PreMergeILTransformed\M.I.D.I.exe""."
"Message",Low,"Выполнение задачи ""Copy"" завершено."
"Message",Low,"Задача ""Copy"" пропущена из-за невыполненного условия; выражение ('$(HasMcgPatchDlls)'=='true') равно (''=='true')."
"Message",Low,"Построение целевого объекта ""PreResolveTransforms"" в проекте ""Unnamed_1"" завершено."
"Message",Low,"Целевой объект ""InitInputResourceName"" в файле ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" из проекта ""E:\M.I.D.I\M.I.D.I\M.I.D.I\Unnamed_1"" (целевой объект ""RunILTransforms"" зависит от него):"
"Message",Low,"Задача ""ResolveFilePathTask"" пропущена из-за невыполненного условия; выражение ('$(InputPath)' != '' and Exists('$(InputPath)\obj\')) равно ('E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\in' != '' and Exists('E:\M.I.D.I\M.I.D.I\M.I.D.I\obj\x86\Release\ilc\in\obj\'))."
"Message",Low,"Используется задача ""ResolveFilePathTask"" из сборки ""Microsoft.Build.ILTasks""."
"Message",Low,"Задача ""ResolveFilePathTask"""
"Message",Low,"Выполнение задачи ""ResolveFilePathTask"" завершено."
"Message",Low,"Построение целевого объекта ""InitInputResourceName"" в проекте ""Unnamed_1"" завершено."
"Message",Low,"Целевой объект ""PreResolveTransforms"" пропущен. Раньше построение было успешным."
"Message",Low,"Целевой объект ""SetForSharedInputs"" в файле ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" из проекта ""E:\M.I.D.I\M.I.D.I\M.I.D.I\Unnamed_1"" (целевой объект ""ResolveInitialReferences"" зависит от него):"
"Message",Low,"Полное построение целевого объекта ""SetForSharedInputs""."
"Message",Low,"Входные файлы не заданы."
"Message",Low,"Задача ""IlcErrorTask"" пропущена из-за невыполненного условия; выражение (!Exists('$(InputSharedAssemblyListPath)')) равно (!Exists('C:\Program Files (x86)\Microsoft SDKs\Windows Kits\10\ExtensionSDKs\Microsoft.NET.Native.Framework.1.3\1.3\x86\ret\SharedAssemblyList.txt'))."
"Message",Low,"Используется задача ""ReadLinesFromFile"" из сборки ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Задача ""ReadLinesFromFile"""
"Message",Low,"Выполнение задачи ""ReadLinesFromFile"" завершено."
"Message",Low,"Задача ""IlcErrorTask"" пропущена из-за невыполненного условия; выражение (!Exists('$(InputSharedAssemblyPath)\%(SharedLibraryContent.Identity)')) равно (!Exists('C:\Program Files (x86)\Microsoft SDKs\Windows Kits\10\ExtensionSDKs\Microsoft.NET.Native.Framework.1.3\1.3\x86\ret\SharedAssemblyILMergeInfo.csv'))."
"Message",Low,"Задача ""IlcErrorTask"" пропущена из-за невыполненного условия; выражение (!Exists('$(InputSharedAssemblyPath)\%(SharedLibraryContent.Identity)')) равно (!Exists('C:\Program Files (x86)\Microsoft SDKs\Windows Kits\10\ExtensionSDKs\Microsoft.NET.Native.Framework.1.3\1.3\x86\ret\SharedLibrary.iltransformtoc.ildll'))."
"Message",Low,"Задача ""IlcErrorTask"" пропущена из-за невыполненного условия; выражение (!Exists('$(InputSharedAssemblyPath)\%(SharedLibraryContent.Identity)')) равно (!Exists('C:\Program Files (x86)\Microsoft SDKs\Windows Kits\10\ExtensionSDKs\Microsoft.NET.Native.Framework.1.3\1.3\x86\ret\AnalysisILToc\System.Collections.iltoc'))."
"Message",Low,"Задача ""IlcErrorTask"" пропущена из-за невыполненного условия; выражение (!Exists('$(InputSharedAssemblyPath)\%(SharedLibraryContent.Identity)')) равно (!Exists('C:\Program Files (x86)\Microsoft SDKs\Windows Kits\10\ExtensionSDKs\Microsoft.NET.Native.Framework.1.3\1.3\x86\ret\AnalysisILToc\System.Collections.Concurrent.iltoc'))."
"Message",Low,"Задача ""IlcErrorTask"" пропущена из-за невыполненного условия; выражение (!Exists('$(InputSharedAssemblyPath)\%(SharedLibraryContent.Identity)')) равно (!Exists('C:\Program Files (x86)\Microsoft SDKs\Windows Kits\10\ExtensionSDKs\Microsoft.NET.Native.Framework.1.3\1.3\x86\ret\AnalysisILToc\System.Diagnostics.Tracing.iltoc'))."
"Message",Low,"Задача ""IlcErrorTask"" пропущена из-за невыполненного условия; выражение (!Exists('$(InputSharedAssemblyPath)\%(SharedLibraryContent.Identity)')) равно (!Exists('C:\Program Files (x86)\Microsoft SDKs\Windows Kits\10\ExtensionSDKs\Microsoft.NET.Native.Framework.1.3\1.3\x86\ret\AnalysisILToc\System.Dynamic.Runtime.iltoc'))."
